t,theta,omega,x,y
0.0000000000,0.1743510889,-0.3060082505,0.1734691010,-0.9848393123
0.0000000000,0.1740442303,-0.3077085014,0.1731668864,-0.9848924964
0.0000000000,0.1737356729,-0.3094057793,0.1728629824,-0.9849458814
0.0000000000,0.1734254198,-0.3111000676,0.1725573915,-0.9849994653
0.0000000000,0.1731134738,-0.3127913498,0.1722501165,-0.9850532460
0.0000000000,0.1727998381,-0.3144796094,0.1719411601,-0.9851072213
0.0000000000,0.1724845156,-0.3161648299,0.1716305251,-0.9851613892
0.0000000000,0.1721675094,-0.3178469948,0.1713182143,-0.9852157477
0.0000000000,0.1718488226,-0.3195260878,0.1710042303,-0.9852702945
0.0000000000,0.1715284583,-0.3212020924,0.1706885761,-0.9853250276
0.0000000000,0.1712064195,-0.3228749922,0.1703712543,-0.9853799448
0.0000000000,0.1708827093,-0.3245447709,0.1700522679,-0.9854350441
0.0000000000,0.1705573310,-0.3262114123,0.1697316197,-0.9854903233
0.0000000000,0.1702302876,-0.3278748999,0.1694093125,-0.9855457802
0.0000000000,0.1699015822,-0.3295352176,0.1690853492,-0.9856014127
0.0000000000,0.1695712182,-0.3311923490,0.1687597327,-0.9856572186
0.0000000000,0.1692391986,-0.3328462781,0.1684324659,-0.9857131958
0.0000000000,0.1689055267,-0.3344969886,0.1681035517,-0.9857693421
0.0000000000,0.1685702057,-0.3361444644,0.1677729931,-0.9858256554
0.0000000000,0.1682332389,-0.3377886894,0.1674407931,-0.9858821333
0.0000000000,0.1678946294,-0.3394296474,0.1671069545,-0.9859387738
0.0000000000,0.1675543807,-0.3410673225,0.1667714804,-0.9859955747
0.0000000000,0.1672124959,-0.3427016985,0.1664343737,-0.9860525337
0.0000000000,0.1668689784,-0.3443327596,0.1660956376,-0.9861096487
0.0000000000,0.1665238315,-0.3459604896,0.1657552750,-0.9861669173
0.0000000000,0.1661770585,-0.3475848728,0.1654132891,-0.9862243375
0.0000000000,0.1658286628,-0.3492058931,0.1650696827,-0.9862819069
0.0000000000,0.1654786478,-0.3508235346,0.1647244592,-0.9863396233
0.0000000000,0.1651270169,-0.3524377817,0.1643776215,-0.9863974846
