mode,theta0,period,steps,cpu_time,avg_dt,max_error,period_error,real_time
fixed_1e-04,0.61,1.80547280,200000,0.013473,0.000100,0.000005,0.200594,yes
adaptive,0.61,1.80565800,153,0.000026,0.131558,0.000030,0.200409,yes
analytic,0.62,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.62,1.80547321,2007,0.000135,0.010000,0.000005,0.200593,yes
fixed_1e-03,0.62,1.80547323,20061,0.001345,0.001000,0.000005,0.200593,yes
fixed_1e-04,0.62,1.80547323,200000,0.013463,0.000100,0.000005,0.200593,yes
adaptive,0.62,1.80566667,151,0.000026,0.133147,0.000031,0.200400,yes
analytic,0.63,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.63,1.80547364,2007,0.000147,0.010000,0.000005,0.200593,yes
fixed_1e-03,0.63,1.80547366,20061,0.001348,0.001000,0.000005,0.200593,yes
fixed_1e-04,0.63,1.80547366,200000,0.013441,0.000100,0.000005,0.200593,yes
adaptive,0.63,1.80561145,153,0.000027,0.131941,0.000030,0.200455,yes
analytic,0.64,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.64,1.80547408,2007,0.000135,0.010000,0.000005,0.200593,yes
fixed_1e-03,0.64,1.80547409,20061,0.001349,0.001000,0.000005,0.200593,yes
fixed_1e-04,0.64,1.80547409,200000,0.013466,0.000100,0.000005,0.200593,yes
adaptive,0.64,1.80550574,154,0.000027,0.130546,0.000031,0.200561,yes
analytic,0.65,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.65,1.80547452,2007,0.000135,0.010000,0.000006,0.200592,yes
fixed_1e-03,0.65,1.80547454,20061,0.001348,0.001000,0.000006,0.200592,yes
fixed_1e-04,0.65,1.80547454,200000,0.013456,0.000100,0.000006,0.200592,yes
adaptive,0.65,1.80547316,153,0.000028,0.131121,0.000031,0.200594,yes
analytic,0.66,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.66,1.80547497,2007,0.000141,0.010000,0.000006,0.200592,yes
fixed_1e-03,0.66,1.80547499,20061,0.001347,0.001000,0.000006,0.200592,yes
fixed_1e-04,0.66,1.80547499,200000,0.013513,0.000100,0.000006,0.200592,yes
adaptive,0.66,1.80551313,157,0.000027,0.128096,0.000031,0.200554,yes
analytic,0.67,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.67,1.80547543,2007,0.000135,0.010000,0.000006,0.200591,yes
fixed_1e-03,0.67,1.80547544,20061,0.001346,0.001000,0.000006,0.200591,yes
